Category,City,Country,Discount,Profit,Quantity,Region,Sales,Segment,State,Sub-Category
Furniture,Los Angeles,United States,0,5.79,2,West,19.3,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,4.4712,3,West,12.42,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,23.988,3,West,119.94,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,81.8496,7,West,227.36,Consumer,California,Furnishings
Technology,Los Angeles,United States,0,22.4316,3,West,62.31,Consumer,California,Accessories
Technology,Los Angeles,United States,0,130.752,12,West,435.84,Consumer,California,Accessories
Technology,Los Angeles,United States,0,556.974,3,West,1265.85,Consumer,California,Accessories
Furniture,Los Angeles,United States,0,13.832,5,West,36.4,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,15.6332,2,West,91.96,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,10.248,2,West,24.4,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,41.4456,3,West,148.02,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,12.9129,7,West,33.11,Corporate,California,Furnishings
Technology,Los Angeles,United States,0,76.272,7,West,254.24,Corporate,California,Accessories
Technology,Los Angeles,United States,0,59.0372,4,West,159.56,Corporate,California,Accessories
Technology,Los Angeles,United States,0,17.55,3,West,39,Corporate,California,Accessories
Technology,Los Angeles,United States,0,244.6155,5,West,1287.45,Corporate,California,Accessories
Technology,Los Angeles,United States,0,47.8629,9,West,251.91,Corporate,California,Accessories
Furniture,Los Angeles,United States,0,14.6718,2,West,44.46,Home Office,California,Furnishings
Furniture,Los Angeles,United States,0,76.9816,4,West,187.76,Home Office,California,Furnishings
Technology,Los Angeles,United States,0,39.5,5,West,395,Home Office,California,Accessories
Technology,Los Angeles,United States,0,47.994,2,West,159.98,Home Office,California,Accessories
Technology,Los Angeles,United States,0,22.6737,3,West,107.97,Home Office,California,Accessories
Office Supplies,Los Angeles,United States,0,2.691,1,West,5.98,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,2.7028,4,West,9.32,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,7.015,1,West,15.25,Corporate,California,Envelopes
Office Supplies,Los Angeles,United States,0,14.8,2,West,29.6,Home Office,California,Labels
Office Supplies,Los Angeles,United States,0,9.936,2,West,20.7,Consumer,California,Labels
Office Supplies,Los Angeles,United States,0,15.552,5,West,32.4,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,73.41,3,West,146.82,Home Office,California,Paper
Furniture,Los Angeles,United States,0,51.474,6,West,111.9,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,19.7988,4,West,282.84,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,2.9682,1,West,8.73,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,53.196,2,West,204.6,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,5.5888,2,West,19.96,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,29.3284,2,West,86.26,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,6.0288,3,West,18.84,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,27.5632,4,West,59.92,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,297.69,6,West,595.38,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,23.9232,7,West,74.76,Consumer,California,Furnishings
Office Supplies,Los Angeles,United States,0,12.298,2,West,47.3,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,28.615,2,West,114.46,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,5.6994,3,West,12.39,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,33.4584,4,West,123.92,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,107.7216,4,West,219.84,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,10.8,6,West,22.5,Consumer,California,Labels
Office Supplies,Los Angeles,United States,0,27.9936,9,West,58.32,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,24.47,1,West,48.94,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,210.4936,4,West,725.84,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,21.7845,5,West,46.35,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,26.082,9,West,56.7,Consumer,California,Labels
Office Supplies,Los Angeles,United States,0,13.3056,9,West,27.72,Consumer,California,Labels
Office Supplies,Los Angeles,United States,0,3.1104,1,West,6.48,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,16.7886,1,West,62.18,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,19.488,2,West,64.96,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,5.24,2,West,20.96,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,1.7608,2,West,5.68,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,7.4872,2,West,15.28,Consumer,California,Envelopes
Office Supplies,Los Angeles,United States,0,3.7996,2,West,8.26,Consumer,California,Labels
Office Supplies,Los Angeles,United States,0,5.8604,2,West,11.96,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,6.1548,2,West,13.38,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,5.6994,3,West,12.39,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,7.2,3,West,15,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,5.0055,3,West,10.65,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,7.6146,3,West,15.54,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,9.1269,3,West,304.23,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,3.4092,3,West,340.92,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,16.38,4,West,46.8,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,2.8776,4,West,8.72,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,23.0864,4,West,49.12,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,38.9312,4,West,139.04,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,100.4255,5,West,204.95,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,29.3412,7,West,104.79,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,10.4076,9,West,37.17,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,11.907,9,West,26.46,Consumer,California,Art
Technology,Los Angeles,United States,0,659.98,5,West,1649.95,Consumer,California,Accessories
Technology,Los Angeles,United States,0,10.5,2,West,50,Consumer,California,Accessories
Technology,Los Angeles,United States,0,15.2208,1,West,36.24,Consumer,California,Accessories
Technology,Los Angeles,United States,0,200.8638,9,West,1115.91,Consumer,California,Accessories
Furniture,Los Angeles,United States,0,6.5472,4,West,21.12,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,26.0316,7,West,289.24,Corporate,California,Furnishings
Office Supplies,Los Angeles,United States,0,3.8775,1,West,15.51,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,100.4255,5,West,204.95,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,3.1104,1,West,6.48,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,3.7996,2,West,8.26,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,4.8118,2,West,9.82,Corporate,California,Labels
Office Supplies,Los Angeles,United States,0,41.4294,1,West,142.86,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,61.389,2,West,323.1,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,282.2092,7,West,1085.42,Corporate,California,Storage
Technology,Los Angeles,United States,0,47.0979,3,West,109.53,Corporate,California,Accessories
Technology,Los Angeles,United States,0,52.7934,6,West,479.94,Corporate,California,Accessories
Furniture,Los Angeles,United States,0,12.0609,3,West,44.67,Home Office,California,Furnishings
Furniture,Los Angeles,United States,0,11.8728,4,West,34.92,Home Office,California,Furnishings
Furniture,Los Angeles,United States,0,5.5177,1,West,23.99,Home Office,California,Furnishings
Furniture,Los Angeles,United States,0,3.0814,2,West,9.94,Home Office,California,Furnishings
Office Supplies,Los Angeles,United States,0,3.4668,3,West,12.84,Home Office,California,Art
Office Supplies,Los Angeles,United States,0,3.1752,1,West,6.48,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,4.5008,4,West,15.52,Home Office,California,Supplies
Office Supplies,Los Angeles,United States,0,75.6952,14,West,270.34,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,0.2034,1,West,20.34,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,101.3488,2,West,361.96,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,5.7624,2,West,11.76,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,29.6688,4,West,105.96,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,27.783,5,West,56.7,Home Office,California,Paper
Technology,Los Angeles,United States,0,5.1015,3,West,26.85,Home Office,California,Accessories
Technology,Los Angeles,United States,0,13.1985,3,West,62.85,Home Office,California,Accessories
Office Supplies,Los Angeles,United States,0,6.8714,2,West,14.62,Corporate,California,Labels
Office Supplies,Los Angeles,United States,0,6.633,3,West,20.1,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,3.1104,1,West,6.48,Corporate,California,Paper
Technology,Los Angeles,United States,0,24.936,1,West,166.24,Consumer,California,Accessories
Office Supplies,Los Angeles,United States,0,16.032,5,West,33.4,Consumer,California,Paper
Furniture,Los Angeles,United States,0,28.7712,4,West,79.92,Consumer,California,Furnishings
Office Supplies,Los Angeles,United States,0,3.2944,2,West,11.36,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,6.8714,2,West,14.62,Corporate,California,Labels
Furniture,Los Angeles,United States,0,3.0096,2,West,8.36,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,191.6586,9,West,467.46,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,21.5964,7,West,59.99,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,31.2444,9,West,94.68,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,199.2606,11,West,474.43,Consumer,California,Furnishings
Office Supplies,Los Angeles,United States,0,16.5888,3,West,61.44,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,25.792,5,West,99.2,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,2.0672,2,West,6.08,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,27.882,2,West,61.96,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,4.5816,2,West,9.96,Consumer,California,Labels
Office Supplies,Los Angeles,United States,0,85.904,2,West,330.4,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,32.5008,3,West,67.71,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,8.4966,3,West,17.34,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,79.8912,3,West,166.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,38.976,4,West,129.92,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,7.704,4,West,17.12,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,187.3976,4,West,720.76,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,3.969,5,West,14.7,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,28.858,5,West,61.4,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,2.8314,1,West,10.89,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,1.7466,1,West,4.26,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,8.991,2,West,19.98,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,0.9468,3,West,23.67,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,12.4416,4,West,25.92,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,43.706,5,West,168.1,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,69.705,5,West,154.9,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,5.2332,7,West,18.69,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,54.5832,7,West,454.86,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,97.0784,8,West,211.04,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,24.219,9,West,53.82,Consumer,California,Paper
Furniture,Los Angeles,United States,0,2.6376,1,West,6.28,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,18.1146,1,West,43.13,Corporate,California,Furnishings
Furniture,Los Angeles,United States,0,15.8256,2,West,37.68,Corporate,California,Furnishings
Office Supplies,Los Angeles,United States,0,5.616,2,West,12.48,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,11.586,2,West,231.72,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,8.95,5,West,17.9,Corporate,California,Fasteners
Office Supplies,Los Angeles,United States,0,10.3168,2,West,39.68,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,0,2,West,276.28,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,29.5776,2,West,75.84,Corporate,California,Appliances
Office Supplies,Los Angeles,United States,0,5.382,2,West,11.96,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,4.4392,2,West,221.96,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,23.9688,3,West,99.87,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,12.4416,4,West,25.92,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,14.418,4,West,32.04,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,48.5392,4,West,105.52,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,13.1868,4,West,48.84,Corporate,California,Storage
Technology,Los Angeles,United States,0,217.767,2,West,659.9,Corporate,California,Accessories
Technology,Los Angeles,United States,0,8.619,3,West,66.3,Corporate,California,Accessories
Technology,Los Angeles,United States,0,40.12,4,West,236,Corporate,California,Accessories
Technology,Los Angeles,United States,0,659.98,5,West,1649.95,Corporate,California,Accessories
Technology,Los Angeles,United States,0,30.432,5,West,95.1,Corporate,California,Accessories
Technology,Los Angeles,United States,0,8.5025,5,West,44.75,Corporate,California,Accessories
Technology,Los Angeles,United States,0,190.3728,8,West,559.92,Corporate,California,Accessories
Furniture,Los Angeles,United States,0,5.1816,3,West,15.24,Home Office,California,Furnishings
Office Supplies,Los Angeles,United States,0,2.528,2,West,7.9,Home Office,California,Fasteners
Office Supplies,Los Angeles,United States,0,6.4128,2,West,13.36,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,22.1184,4,West,81.92,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,109.7208,4,West,223.92,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,11.3288,4,West,23.12,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,15.552,5,West,32.4,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,7.945,5,West,158.9,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,5.796,2,West,12.6,Home Office,California,Labels
Office Supplies,Los Angeles,United States,0,6.206,5,West,21.4,Home Office,California,Art
Office Supplies,Los Angeles,United States,0,46.953,5,West,99.9,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,136.6176,6,West,487.92,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,10.584,7,West,22.05,Home Office,California,Labels
Office Supplies,Los Angeles,United States,0,204.7682,7,West,1575.14,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,44.955,9,West,249.75,Home Office,California,Storage
Technology,Los Angeles,United States,0,6.1512,2,West,13.98,Consumer,California,Accessories
Office Supplies,Los Angeles,United States,0,68.9631,3,West,146.73,Consumer,California,Paper
Furniture,Los Angeles,United States,0,22.3328,4,West,79.76,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,26.2416,3,West,238.56,Home Office,California,Furnishings
Office Supplies,Los Angeles,United States,0,9.8418,3,West,20.94,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,53.2608,2,West,110.96,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,1.5456,4,West,51.52,Consumer,California,Supplies
Office Supplies,Los Angeles,United States,0,27.9936,9,West,58.32,Consumer,California,Paper
Furniture,Los Angeles,United States,0,4.2804,2,West,14.76,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,43.6842,3,West,312.03,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,8.2992,4,West,19.76,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,38.024,4,West,77.6,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,92.97,9,West,464.85,Consumer,California,Furnishings
Office Supplies,Los Angeles,United States,0,10.4832,3,West,21.84,Consumer,California,Envelopes
Office Supplies,Los Angeles,United States,0,8.073,3,West,17.94,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,3.894,2,West,77.88,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,60.2553,3,West,122.97,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,1.9024,2,West,6.56,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,24.2696,2,West,52.76,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,6.4128,2,West,13.36,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,23.9688,3,West,99.87,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,157.0176,6,West,541.44,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,22.8096,9,West,47.52,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,78.672,2,West,262.24,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,8.2156,2,West,17.48,Consumer,California,Envelopes
Office Supplies,Los Angeles,United States,0,2.604,3,West,7.44,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,3.0498,3,West,17.94,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,18.0096,4,West,37.52,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,0.8792,4,West,87.92,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,6.615,5,West,14.7,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,65.355,5,West,217.85,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,84.0512,8,West,182.72,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,180.7659,9,West,368.91,Consumer,California,Paper
Technology,Los Angeles,United States,0,6.2979,1,West,29.99,Consumer,California,Accessories
Technology,Los Angeles,United States,0,7.896,7,West,131.6,Consumer,California,Accessories
Office Supplies,Los Angeles,United States,0,19.4656,2,West,69.52,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,2.9372,2,West,41.96,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,18.447,3,West,70.95,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,10.368,5,West,32.4,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,20.85,5,West,41.7,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,45.8064,8,West,763.44,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,2.054,2,West,7.9,Corporate,California,Appliances
Office Supplies,Los Angeles,United States,0,9.8164,2,West,21.34,Corporate,California,Envelopes
Office Supplies,Los Angeles,United States,0,3.84,2,West,8,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,5.3214,2,West,10.86,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,5.8604,2,West,11.96,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,6.2208,2,West,12.96,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,4.9728,2,West,17.76,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,15.1116,3,West,53.97,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,4.4352,3,West,9.24,Corporate,California,Labels
Office Supplies,Los Angeles,United States,0,4.0749,3,West,8.67,Corporate,California,Labels
Office Supplies,Los Angeles,United States,0,8.019,3,West,29.7,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,18.0096,4,West,37.52,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,6.912,8,West,23.04,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,21.384,9,West,47.52,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,11.31,12,West,39,Corporate,California,Appliances
Technology,Los Angeles,United States,0,131.9868,3,West,299.97,Corporate,California,Accessories
Technology,Los Angeles,United States,0,91.7892,3,West,254.97,Corporate,California,Accessories
Office Supplies,Los Angeles,United States,0,68.04,1,West,189,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,2.0228,2,West,7.78,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,2.79,2,West,11.16,Home Office,California,Art
Office Supplies,Los Angeles,United States,0,27.882,2,West,61.96,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,5.4332,4,West,11.56,Home Office,California,Labels
Office Supplies,Los Angeles,United States,0,55.764,4,West,123.92,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,9.4717,7,West,947.17,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,1.0166,1,West,5.98,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,2.7166,2,West,5.78,Home Office,California,Labels
